pred	true
1112.90234375	1738.9
2004.65380859	2361.36
1717.57458496	1462.41
3202.73413086	2778.41
8773.32910156	8882.4
3216.88256836	3507.97
7051.49755859	5648.04
2694.53149414	1857.58
8735.10839844	10298.02
1230.11206055	1234.54
2105.05566406	4921.39
2114.14746094	2396.17
691.561706543	423.73
1172.04455566	1217.35
10148.3769531	5161.24
1479.63964844	3358.71
2162.04882812	3097.1
812.162841797	2642.67
2701.84594727	1749.24
1090.56225586	754.11
1691.81958008	4410.39
2049.15478516	700.64
4788.34863281	7317.11
1069.14306641	687.97
1258.01159668	476.62
3553.78271484	3809.07
1053.77978516	692.08
1116.40393066	854.0
1073.22668457	654.82
1421.8770752	865.42
2429.34350586	2548.41
1363.4609375	536.17
1740.64892578	1292.61
1075.96862793	1621.43
4349.75292969	2011.55
1535.75549316	2840.35
1124.92932129	917.89
2322.1015625	2036.88
3540.37011719	6436.18
2480.59594727	3207.36
1448.54040527	1857.98
2081.31982422	7353.97
2369.45507812	2470.12
3347.59448242	5199.54
2176.65576172	3913.56
2244.93994141	2770.51
5167.22363281	11049.02
3514.35009766	5554.86
5145.296875	10356.91
1702.78527832	1221.64
886.630126953	773.13
1436.15930176	1689.94
1564.80859375	1914.0
869.757751465	1174.93
884.599731445	1784.6
2557.99658203	5424.08
1183.34313965	3425.2
3216.05151367	4503.51
1785.74719238	1131.1
2661.69335938	1589.02
1667.84033203	540.27
2011.09448242	943.61
2269.75463867	1808.84
5564.76660156	5307.02
1108.91833496	812.79
3022.98193359	1616.71
3425.11157227	6493.7
2444.49731445	1802.28
1853.18322754	2541.57
6530.53759766	6615.1
7457.75244141	10660.78
1675.19934082	1095.38
1737.29309082	564.26
1729.58117676	1240.76
5428.57519531	18348.47
2736.40454102	2398.99
3660.21240234	3753.19
2206.97070312	1133.06
3171.96972656	4156.14
1008.94720459	1254.32
5524.10009766	3077.17
1413.52233887	543.09
1138.65600586	772.22
1150.76965332	860.89
5864.03857422	6252.84
2699.41845703	5151.3
1467.18579102	3365.49
1917.95495605	2245.54
1589.42724609	1049.0
1564.47363281	749.87
2989.57006836	2265.46
4275.38330078	5224.46
935.925231934	805.02
764.194274902	641.43
1016.69030762	1162.94
5493.64453125	3999.3
2303.109375	1292.48
3130.67407227	3910.56
994.168762207	562.86
2682.45410156	2334.98
10753.5722656	11729.0
1288.26635742	960.78
1443.25708008	1292.25
973.968200684	795.56
2449.25634766	2823.85
828.427368164	718.59
1137.59716797	834.6
1548.37036133	1211.57
1049.41723633	1488.1
6849.07666016	25767.42
2678.55200195	3116.28
2372.11181641	6534.33
7790.50488281	11761.95
3095.48730469	1583.79
3976.84570312	2663.25
1578.66833496	957.18
6408.51464844	4783.91
920.668395996	2103.23
2741.52026367	1779.38
1277.61584473	1544.48
2321.64111328	666.53
859.852294922	842.43
1857.15515137	3211.64
1294.83325195	1069.52
5345.89111328	9103.73
1189.23913574	1194.34
1333.62280273	3463.13
1419.21777344	2458.64
2006.4239502	3320.0
1526.10266113	2291.66
2899.84790039	7367.49
1539.91320801	5232.98
1829.08459473	1322.43
2541.27246094	2684.11
1591.73901367	1281.0
2234.00390625	2949.83
1474.51782227	804.6
1848.59655762	3994.86
1942.18322754	4949.94
2672.27539062	2738.39
2106.6965332	4725.44
2103.87060547	3033.19
17856.0761719	20408.92
1787.88745117	840.33
1847.6932373	1512.99
853.461975098	1526.46
1130.42480469	1358.05
1631.80859375	2056.19
1857.47485352	1806.82
1245.15002441	2539.53
2137.63476562	3358.39
2501.15917969	5644.16
1313.94641113	1466.94
2126.21044922	5243.92
7350.79736328	7066.24
1394.95739746	740.14
3210.78955078	1717.88
3518.56225586	4133.7
2041.01489258	3417.76
11566.1259766	10784.34
1943.53588867	1247.0
3410.92553711	2169.45
2430.70483398	4615.27
1981.45947266	1765.16
4052.54858398	3213.32
2155.51733398	1160.9
2658.16479492	3895.38
3483.26538086	6334.2
2646.6237793	1943.03
1430.6973877	4030.54
3082.32250977	2651.87
4242.87695312	2051.46
2810.11303711	5415.99
1677.84387207	2283.38
1524.18640137	714.39
3096.58569336	4818.45
2207.42431641	1889.8
805.74609375	560.37
2222.65380859	1121.05
1085.01733398	1494.36
3106.63964844	3195.56
11038.5898438	3789.78
6368.84472656	8191.47
4474.79443359	6282.19
1966.17468262	2159.14
2993.47583008	1531.83
3684.50048828	4745.04
2289.18139648	3652.8
1432.6348877	1255.4
2741.47045898	3138.1
3947.04931641	10402.14
1222.08081055	1622.75
4090.23852539	9350.12
1078.3626709	673.56
1785.58203125	1663.7
2892.02514648	1666.83
2111.03466797	3120.21
3364.36206055	3641.7
2969.19750977	3795.9
1731.4354248	1741.34
1251.56518555	1916.5
1617.70373535	2058.42
7703.37841797	10586.25
2953.59960938	2242.83
2618.40917969	2652.05
5185.96826172	2039.64
2605.23510742	1344.89
1417.63171387	1214.69
1623.59692383	1336.07
2781.20141602	2373.43
818.393737793	624.14
1524.13110352	3049.65
2676.16210938	1525.34
1316.27294922	2132.2
5679.33496094	3230.35
2212.57324219	2126.01
1834.28930664	1486.09
1560.28308105	1064.28
2781.02392578	2951.93
7402.78613281	5820.28
1543.35864258	2599.38
1160.27270508	1466.06
21161.6054688	79623.52
881.041381836	1001.81
4498.04833984	6656.37
2511.09472656	2171.29
2258.03759766	950.01
14758.1289062	16247.65
863.20489502	751.6
1544.35107422	1311.22
1537.44946289	1437.96
2913.48193359	1735.09
2100.50952148	841.1
3011.56689453	4107.98
2338.85717773	1999.68
1036.82775879	709.14
845.542785645	1138.93
599.392944336	1174.94
1638.14611816	2631.75
886.062072754	1505.33
2918.20092773	1484.93
4651.51025391	7986.76
7201.15087891	5237.89
10734.5556641	11860.8
1671.64526367	2046.11
1877.05236816	2580.44
4155.92236328	5497.11
2015.05786133	1094.04
2978.38208008	3903.82
1344.36645508	3231.0
2052.27490234	2766.94
2084.7565918	969.4
7223.56005859	13055.04
2190.26782227	3517.57
1208.5447998	679.81
1279.86523438	1034.8
1315.8807373	1995.13
1913.66601562	2896.13
1617.17773438	3140.87
4616.91455078	4656.04
2240.85327148	1059.74
1622.91430664	2247.14
2292.28222656	2226.55
2973.83666992	3457.09
1958.98193359	1402.63
1097.16662598	1663.84
6542.21923828	7335.96
2629.30297852	1730.47
2516.66625977	2194.1
2961.85424805	2178.42
960.872009277	747.79
2325.61547852	2087.93
1715.57165527	721.38
2556.92822266	5017.14
1413.30322266	1041.43
1731.97949219	1164.97
2750.22460938	4105.43
1243.46252441	509.65
2721.35571289	6004.24
2391.73120117	4352.79
2857.32910156	4491.64
1626.04528809	1387.83
2171.65063477	2898.6
2072.73901367	1375.12
884.678222656	1064.61
1118.74975586	648.26
5375.22021484	3306.47
3589.69824219	2926.43
2486.92407227	2560.86
2318.70263672	985.31
3635.84545898	1104.37
5401.32421875	5642.95
1765.13195801	1083.89
4133.78271484	3806.96
2042.88244629	2958.51
2095.04101562	2774.68
3256.24902344	3559.93
1166.02807617	789.24
2243.66210938	3428.12
1530.79187012	439.69
1194.16186523	843.02
1963.08886719	1495.34
1152.77648926	629.25
1615.87963867	962.67
3771.85058594	1916.52
1692.73059082	2014.81
4927.60009766	2233.28
1592.1361084	1513.35
1332.85791016	1438.01
3231.5559082	3306.63
1763.73364258	2705.22
1520.3572998	1762.52
2755.36230469	3882.31
3088.52246094	2008.5
4630.23535156	4913.54
2414.55078125	4112.61
2656.7277832	958.52
4444.92822266	2347.82
2567.93603516	848.61
5416.29882812	8945.51
4575.05615234	2490.92
2686.23779297	3059.59
738.756958008	235.88
2718.24438477	3200.19
4039.51049805	4715.08
1000.59344482	2114.18
9047.54394531	8357.54
3140.71582031	3164.51
1480.67504883	3723.48
4005.75512695	8350.14
1173.36865234	1330.69
